;;;;standardní balení;;;;balení 1;;;;balení 2;;;;;nákup;;;;;;
druh;nazev;e-shop;poznamka;std.balení g;MOC sáčku;VOC sáčku;%;g;cena MO;cena VO;%;g;cena MO;cena VO;%;;kg;standard;vzorek;bal-1;bal-2;TAO %;obch.%
Ostatní;Shan Cha - Zih Ya - Wild Camelia;x;Purple Buds - Sun Moon Lake;30;390;318;22,7;100;1250;1010;23,8;;;;;;3200;106;10;335;15;268;18,5
Ostatní;Hong Cha Qing Xin Da Po;x;Emei Lake - dóza;25;390;234;66,7;100;1050;860;22,1;;;;;;2700;78;10;285;15;400;40
Černý Ceylon;Ceylonský černý čaj - Základní ;;;100;120;59;103,4;250;180;140;28,6;500;340;250;36;;350;45;10;103;190;166,7;50,9
Černý Ceylon;Golden Garden;;;50;140;97;44,4;200;450;350;28,6;500;1090;850;28,3;;1270;74;10;269;650;89,2;30,8
Černý Gruzie;Grusia OP;;;100;100;58;72,5;200;180;110;63,7;500;390;250;56;;340;44;10;83;185;127,3;42
Černý Gruzie;Gruzia Likhauri;;;50;200;154;29,9;200;740;580;27,6;500;1790;1420;26,1;;2150;118;10;445;1090;69,5;23
Černý Gruzie;Gruzia Kolkhida;;;50;200;154;29,9;200;740;580;27,6;500;1790;1420;26,1;;2150;118;10;445;1090;69,5;23
Černý Gruzie;Rize - žluté i červené;;;500;250;208;20,2;250;180;120;50;1000;490;410;19,6;;300;160;10;90;315;56,3;16,8
Čínský  Světlý  Pchu-Er;2010 Simao Zhuan Cha - cihla 250g;;;250;650;486;33,8;100;380;240;58,4;750;1650;1450;13,8;;;180;10;87;555;261,2;25,3
Čínský  Světlý  Pchu-Er;2017 Sheng Tuocha 100g - Lan Cang;;posledních 10ks;100;350;260;34,7;;;;;;;;;;;130;10;15;15;169,3;25,8
Čínský  Světlý  Pchu-Er;2012 Sheng ping cha - 400g - wu liang;;;400;1040;780;33,4;100;320;190;68,5;1200;2890;2370;22;;;520;10;145;1575;100;25
Čínský  Světlý  Pchu-Er;2012 Simao Gushu tuocha 100g;;jen 3ks;100;550;300;83,4;;;;;;;;;;;200;10;15;15;175;45,5
Čínský  Světlý  Pchu-Er;2017 Jing Mai Gushu Orijin - Divocak 100g;;;100;990;648;52,8;300;2500;1990;25,7;;;;;;;240;10;735;15;312,5;34,6
Čínský  Světlý  Pchu-Er;2023 Simao Orijin koláček Xiao 100g;;;100;350;210;66,7;300;950;660;44;500;1490;1080;38;;;140;10;435;715;150;40
Čínský  Světlý  Pchu-Er;2022 Lao Ban Zhan koláček 100g;;;100;290;180;61,2;300;750;570;31,6;500;1090;930;17,3;;;120;10;375;615;141,7;38
Čínský  Světlý  Pchu-Er;2019 Bang Wei Gushu - mini;;jen eshop, mame jen posledních asi 900g;8;200;186;7,6;45;1150;1080;6,5;100;1990;1890;5,3;;;93;10;539;1178;115,1;7
Čínský  Světlý  Pchu-Er;1992 Lao Maocha;;sypany;50;310;225;37,8;200;1240;930;33,4;500;2980;2280;30,8;;2800;150;10;615;1515;106,7;27,5
Čínský  Světlý  Pchu-Er;2019 Maocha Sheng Puerh;;sypany, máme pouze 2kg;40;250;168;48,9;200;990;890;11,3;;;;;;1150;56;10;295;15;346,5;32,8
Čínský  Světlý  Pchu-Er;2023 Maocha Sheng Pchu-er;;sypany;40;180;124;45,2;200;690;540;27,8;500;1590;1300;22,4;;1150;56;10;245;590;221,5;31,2
Čínský Tmavý Pchu-Er;2004 Mini tuocha Lao Meng Hai;;máme jen my - poslední cca 2000g;50;590;405;45,7;200;2190;1650;32,8;;;;;;5200;270;10;1095;15;118,6;31,4
Čínský Tmavý Pchu-Er;2023 Mini tuocha Wu Liang;;;50;120;90;33,4;200;450;340;32,4;500;990;800;23,8;;1000;60;10;255;615;100;25
Čínský Tmavý Pchu-Er;2017 tuocha - orijin - Jing Mai - 100g;;nejde moc jinde koupit;100;390;300;30;300;1130;930;21,6;500;1830;1530;19,7;;;150;10;465;765;160;23,1
Čínský Tmavý Pchu-Er;2023 tuocha - orijin - Simao - 100g;;;100;300;215;39,6;300;890;670;32,9;500;1450;1100;31,9;;;165;10;510;840;81,9;28,4
Čínský Tmavý Pchu-Er;2007 tuocha - Meng Hai - 100g;;nelze koupit, jen co je v čajovně, případně zruš;100;650;459;41,7;;;;;;;;;;;270;10;15;15;140,8;29,4
Čínský Tmavý Pchu-Er;2006 tuocha - Long Sheng - 90g;;posledních asi 9ks;90;890;640;39,1;;;;;;;;;;;320;10;15;15;178,2;28,1
Čínský Tmavý Pchu-Er;2017 cihla - orijin - Ai Lao Shan 100g;;máme jen my cca 70ks;100;490;360;36,2;300;1420;1130;25,7;500;2320;1850;25,5;;;120;10;375;615;308,4;26,6
Čínský Tmavý Pchu-Er;2023 cihla - orijin - Simao 100g;;;100;350;280;25;300;1050;870;20,7;500;1750;1430;22,4;;;140;10;435;715;150;20
Čínský Tmavý Pchu-Er;2012 cihla - orijin - Wu Liang 250g ;;;250;550;390;41,1;500;950;700;35,8;1000;1790;1380;29,8;;;260;10;535;1055;111,6;29,1
Čínský Tmavý Pchu-Er;2003 cihla - Yi Wu 250g;;;250;1450;1125;28,9;100;650;410;58,6;500;2490;1970;26,4;;;750;10;315;1515;93,4;22,5
Čínský Tmavý Pchu-Er;2014 cihla - Yong Zhen 250g;;posledních 5ks;250;1040;840;23,9;;;;;;;;;;;280;10;15;15;271,5;19,3
Čínský Tmavý Pchu-Er;2021 cihla - Yong Zhen 250g;;;250;750;494;51,9;100;390;220;77,3;500;1290;1010;27,8;;;380;10;167;775;97,4;34,2
Čínský Tmavý Pchu-Er;1988 cihla s mistrem 500g;;poslední jsou jen ve skladu a v čajovně;500;1450;1200;20,9;;;;;;;;;;;600;10;15;15;141,7;17,3
Čínský Tmavý Pchu-Er;2006 koláč - Long Sheng žlutý;;;356;1890;1500;26;;;;;;;;;;;1000;10;15;15;89;20,7
Čínský Tmavý Pchu-Er;2007 koláč - Long Sheng hnědý s červeným listem;;posledních 11ks;356;2490;2000;24,5;;;;;;;;;;;1000;10;15;15;149;19,7
Čínský Tmavý Pchu-Er;2016 koláč - Bang Wai 357g;;poslední 1 kus;356;1750;1500;16,7;;;;;;;;;;;500;10;15;15;250;14,3
Čínský Tmavý Pchu-Er;2015 koláč - Jing Dong 357g;;máme jen my 70ks;356;1850;1200;54,2;100;690;460;50;;;;;;;600;10;184;15;208,4;35,2
Čínský Tmavý Pchu-Er;2016 koláč - Dingzang 357g;;gong ting, 2017 koláč - Dingzang 357g;356;2270;1800;26,2;100;730;560;30,4;;;;;;;600;10;184;15;278,4;20,8
Čínský Tmavý Pchu-Er;2023 koláč - orijin - Simao 357g;;;356;990;715;38,5;;;;;;;;;;;550;10;15;15;80;27,8
Čínský Tmavý Pchu-Er;2002 Tibetský čaj 650g;;;250;1490;1200;24,2;;;;;;;;;;;750;10;15;15;98,7;19,5
Čínský Tmavý Pchu-Er;2003 Tibetský čaj 260g;;poslední 2ks na světě;260;1280;975;31,3;;;;;;;;;;;750;;;;;
Čínský Tmavý Pchu-Er;2017 koláč - orijin - Jing Mai 200g;;;200;590;495;19,2;;;;;600;1690;1510;12;;;330;10;15;1005;78,8;16,2
Čínský Tmavý Pchu-Er;2009 Mandarinky;;vlož uvodní fotku té mandarinky rozbalené prosím;50;320;251;27,5;200;1250;1030;21,4;500;3070;2530;21,4;;3650;193;10;787;1945;65,9;21,6
Čínský Tmavý Pchu-Er;2022 Ancha - košíček 500g;;;50;220;163;35;500;1990;1650;20,7;;;;;;2300;125;10;1265;15;76;26
Čínský Tmavý Pchu-Er;2010-2014 Cha Tou Simao;;sypaný;50;230;180;27,8;200;850;750;13,4;500;1990;1830;8,8;;2200;120;10;495;1215;91,7;21,8
Čínský Tmavý Pchu-Er;2003 Shu Pchu-er Klasik;;sypaný, skladem 1000g;50;250;129;93,8;200;950;440;116;;;;;;650;43;10;145;15;481,4;48,4
Čínský Tmavý Pchu-Er;2012 Shu Pchu-er Klasik;;sypaný, skladem 15kg;50;180;112;60,8;200;590;400;47,5;500;1240;950;30,6;;920;56;10;199;475;221,5;37,8
Čínský Tmavý Pchu-Er;2023 Shu Pchu-er Klasik;;sypaný, skladem hodně;50;120;84;42,9;200;360;260;38,5;500;780;620;25,9;;920;56;10;199;475;114,3;30
Čínský Tmavý Pchu-Er;Shu Pchu-er Superior;;sypaný;50;160;128;25;200;520;410;26,9;500;1250;1000;25;;1500;85;10;315;765;88,3;20
Čínský Tmavý Pchu-Er;2016 Gong Ting Yi Wu;;sypaný;50;290;240;20,9;200;1150;930;23,7;;;;;;3000;160;10;615;15;81,3;17,3
Yerba Mate  Všechny;Kraus Organic Bio ;;zelené;100;140;76;84,3;500;350;210;66,7;1500;820;570;43,9;;140;38;10;150;435;268,5;84,3
Yerba Mate  Všechny;Kraus Gaucho - Sin Palo (jen listy);;červené;100;160;92;74;500;450;270;66,7;1500;1050;730;43,9;;180;46;10;190;555;247,9;74
Yerba Mate  Všechny;Pipore Tradicional;;červené;100;110;60;83,4;500;250;160;56,3;1500;690;410;68,3;;100;30;10;110;315;266,7;83,4
Yerba Mate  Všechny;Pipore Despalda Sin Palo (jen listy);;modré;100;130;68;91,2;500;350;190;84,3;1500;790;490;61,3;;120;34;10;130;375;282,4;91,2
Yerba Mate  Všechny;Pipore Terere Listo (velkolisté);;ochucené;100;110;60;83,4;500;350;160;118,8;1500;750;410;83;;100;30;10;110;315;266,7;83,4
Yerba Mate  Všechny;Pajarito Tradicional;;;100;110;60;83,4;500;250;160;56,3;1500;690;410;68,3;;100;30;10;110;315;266,7;83,4
Yerba Mate  Všechny;Pajarito Premium Despalda (jemné);;;100;130;76;71,1;500;350;210;66,7;1500;890;570;56,2;;140;38;10;150;435;242,2;71,1
Yerba Mate  Všechny;Taragui Sin Palo (jen listy);;modré;100;110;64;71,9;500;350;170;105,9;1500;790;450;75,6;;110;32;10;120;345;243,8;71,9
Yerba Mate  Všechny;Taragui Con Palo (listy, větvičky, prach);;červené;100;110;60;83,4;500;280;160;75;1500;690;410;68,3;;100;30;10;110;315;266,7;83,4
Yerba Mate  Všechny;CBSe Guarana;;;100;110;58;89,7;500;280;150;86,7;1500;690;390;77;;95;29;10;105;300;279,4;89,7
Yerba Mate  Všechny;CBSe Hierbas ;;;100;110;58;89,7;500;280;150;86,7;1500;690;390;77;;95;29;10;105;300;279,4;89,7
Yerba Mate  Všechny;CBSe Frutos de Bosque;;;100;110;58;89,7;500;280;150;86,7;1500;690;390;77;;95;29;10;105;300;279,4;89,7
Yerba Mate  Všechny;CBSe Frutos de Valle;;;100;110;58;89,7;500;280;150;86,7;1500;690;390;77;;95;29;10;105;300;279,4;89,7
Yerba Mate  Všechny;Curupira Mango Marakuja;;;100;150;76;97,4;500;350;210;66,7;1500;890;570;56,2;;140;38;10;150;435;294,8;97,4
Yerba Mate  Všechny;Mate Green Limao;;;100;150;96;56,3;400;350;230;52,2;1200;890;610;46;;150;48;10;160;465;212,5;56,3
Yerba Mate  Všechny;Mate Green Silueta;;;100;130;86;51,2;400;350;200;75;1200;790;530;49,1;;130;43;10;140;405;202,4;51,2
Yerba Mate  Všechny;Rosamonte Klasik Yerba Mate;;;100;110;56;96,5;500;250;140;78,6;1500;690;380;81,6;;90;28;10;100;285;292,9;96,5
Yerba Mate  Všechny;Farmářské;;;100;180;100;80;500;490;300;63,4;1500;1290;800;61,3;;200;50;10;210;615;260;80
Yerba Mate  Všechny;Pampero;;;100;160;120;33,4;500;480;370;29,8;1000;850;670;26,9;;500;60;10;260;515;166,7;33,4
Yerba Mate  Všechny;Maté Salida Del Sol - citrónové;;;100;130;100;30;250;210;160;31,3;500;350;280;25;;400;50;10;110;215;160;30
Rooibos A Honeybush;Broskvový rooibos Capetown;;;50;90;70;28,6;200;350;260;34,7;500;750;540;38,9;;800;50;10;170;415;80;22,3
Rooibos A Honeybush;Honeybush;;;50;90;70;28,6;200;350;260;34,7;500;750;540;38,9;;800;50;10;170;415;80;22,3
Rooibos A Honeybush;Karamelový rooibos Caramel;;;50;90;70;28,6;200;350;260;34,7;500;750;540;38,9;;800;50;10;170;415;80;22,3
Rooibos A Honeybush;Limetkový Rooibos Lemon;;;50;90;70;28,6;200;350;260;34,7;500;750;540;38,9;;800;50;10;170;415;80;22,3
Rooibos A Honeybush;Red Fruit Rooibos - zelený;;;50;90;70;28,6;200;350;260;34,7;500;750;540;38,9;;800;50;10;170;415;80;22,3
Rooibos A Honeybush;Lesní ovoce Rooibos - červený;;;50;90;70;28,6;200;350;260;34,7;500;750;540;38,9;;800;50;10;170;415;80;22,3
Rooibos A Honeybush;Rooibos zelený Green BIO;;;50;90;70;28,6;200;350;260;34,7;500;750;540;38,9;;800;50;10;170;415;80;22,3
Rooibos A Honeybush;Rooibos červený Super Grade;;;50;90;70;28,6;200;350;260;34,7;500;750;540;38,9;;800;50;10;170;415;80;22,3
Zelené Aromaticke;Sencha Maharádža;;;50;90;53;69,9;200;280;170;64,8;500;490;350;40;;500;35;10;110;265;157,2;41,2
Zelené Aromaticke;Sencha Hawaiflower;;;50;90;53;69,9;200;280;170;64,8;500;490;350;40;;500;35;10;110;265;157,2;41,2
Zelené Aromaticke;Sencha Japan Lime ;;;50;90;53;69,9;200;280;170;64,8;500;490;350;40;;500;35;10;110;265;157,2;41,2
Zelené Aromaticke;Sencha Wildcherry;;;50;90;53;69,9;200;280;170;64,8;500;490;350;40;;500;35;10;110;265;157,2;41,2
Zelené Aromaticke;Vánoční Wintertime;;;100;150;105;42,9;200;280;200;40;500;590;410;44;;600;70;10;130;315;114,3;30
Zelené Aromaticke;Touareg;;;100;140;90;55,6;500;490;390;25,7;1000;840;670;25,4;;500;60;10;260;515;133,4;35,8
Černé Aromaticke;Borůvkový čaj;;;50;100;45;122,3;200;280;140;100;500;490;280;75;;400;30;10;90;215;233,4;55
Černé Aromaticke;Earl Grey ROYAL;;;100;200;165;21,3;200;400;320;25;500;1000;670;49,3;;1000;110;10;210;515;81,9;17,5
Černé Aromaticke;Glögg;;;50;100;50;100;200;280;150;86,7;500;490;320;53,2;;450;33;10;100;240;203,1;50
Černé Aromaticke;Kokosový;;;50;100;50;100;200;280;150;86,7;500;490;320;53,2;;450;33;10;100;240;203,1;50
Černé Aromaticke;Liči;;;50;100;60;66,7;200;280;200;40;500;590;410;44;;600;40;10;130;315;150;40
Černé Aromaticke;Lady Grey;;;50;100;60;66,7;200;280;200;40;500;590;410;44;;600;40;10;130;315;150;40
Černé Aromaticke;Vanilkový čaj ;;;50;100;50;100;200;280;150;86,7;500;490;320;53,2;;450;33;10;100;240;203,1;50
Černé Aromaticke;Vánoční čaj;;;100;150;112;34;200;280;200;40;500;590;410;44;;600;70;10;130;315;114,3;25,4
Bylinky;Karkade - Ibišek;;;80;100;57;75,5;200;180;110;63,7;500;350;250;40;;350;38;10;80;190;163,2;43
Bylinky;Cesmína velkolistá;;;40;150;105;42,9;200;550;410;34,2;500;1290;1000;29;;1500;70;10;310;765;114,3;30
Bylinky;Jiogulan - ženšen;;;50;180;138;30,5;200;590;470;25,6;500;1450;1160;25;;1750;98;10;360;890;83,7;23,4
Bylinky;Lemongras;;;40;80;45;77,8;200;260;150;73,4;500;490;350;40;;500;30;10;110;265;166,7;43,8
Bylinky;Nana Máta;;;50;70;45;55,6;200;200;120;66,7;500;390;280;39,3;;400;30;10;90;215;133,4;35,8
Bylinky;Hloh - sušený plod;;;50;120;83;44,6;200;360;250;44;500;850;610;39,4;;900;55;10;190;465;118,2;30,9
Bylinky;Yogi koření;;;80;170;133;27,9;200;420;320;31,3;500;990;770;28,6;;1150;102;10;240;590;66,7;21,8
Bylinky;Mateřídouška - nať;;;40;60;29;106,9;200;150;70;114,3;500;250;160;56,3;;180;18;10;46;105;233,4;51,7
Bylinky;Meduňka - nať;;;40;60;31;93,6;200;150;80;87,5;500;250;180;38,9;;210;19;10;52;120;215,8;48,4
Bylinky;Třezalka - nať;;;50;60;34;76,5;200;150;80;87,5;500;250;180;38,9;;210;21;10;52;120;185,8;43,4
Bylinky;Heřmánek - květ;;;30;70;44;59,1;200;250;180;38,9;500;590;440;34,1;;550;27;10;120;290;159,3;37,2
Bylinky;Měsíček - květ;;;40;60;37;62,2;200;180;120;50;500;350;270;29,7;;320;23;10;74;175;160,9;38,4
Bylinky;Lipový květ;;;40;90;63;42,9;200;350;260;34,7;500;780;590;32,3;;800;42;10;170;415;114,3;30
Bylinky;Ginko Biloba - list;;;50;80;45;77,8;200;180;120;50;500;390;290;34,5;;350;28;10;80;190;185,8;43,8
Bylinky;Lišejník Islandský;;;40;80;44;81,9;200;250;140;78,6;500;430;330;30,4;;410;27;10;92;220;196,3;45
Bylinky;Vilcacora - kůra;;;50;130;64;103,2;200;360;200;80;500;650;480;35,5;;600;40;10;130;315;225;50,8
Bylinky;Lapacho - kůra;;;80;130;74;75,7;200;250;150;66,7;500;550;360;52,8;;450;46;10;100;240;182,7;43,1
Bylinky;Kotvičník - nať;;;50;80;50;60;200;250;150;66,7;500;450;340;32,4;;420;31;10;94;225;158,1;37,5
Bylinky;Borůvčí - nať;;;50;60;32;87,5;200;150;80;87,5;500;250;180;38,9;;200;20;10;50;115;200;46,7
Bylinky;Jasmín - květ;;;30;120;84;42,9;200;590;440;34,1;500;1390;1080;28,8;;1400;52;10;290;715;130,8;30
Bylinky;Sib. ženšen - Eleuterokok - kořen;;;50;80;47;70,3;200;240;130;84,7;500;410;310;32,3;;380;29;10;86;205;175,9;41,3
Bylinky;Šišák Bajkalský - kořen;;;50;150;104;44,3;200;490;350;40;500;1090;850;28,3;;1100;65;10;230;565;130,8;30,7
Bylinky;Pampeliška - kořen;;;50;80;45;77,8;200;240;130;84,7;500;410;300;36,7;;360;28;10;82;195;185,8;43,8
Bylinky;Šípek - plod drcený;;;50;90;40;125;200;250;110;127,3;500;390;250;56;;300;25;10;70;165;260;55,6
Bylinky;Jitrocel - list;;;50;60;31;93,6;200;150;70;114,3;500;220;160;37,5;;180;19;10;46;105;215,8;48,4
Bylinky;Šalvěj - nať;;;50;60;32;87,5;200;150;80;87,5;500;220;180;22,3;;200;20;10;50;115;200;46,7
Bylinky;Levandule - květ;;;50;80;56;42,9;200;230;170;35,3;500;520;400;30;;500;35;10;110;265;128,6;30
Bylinky;Bambus - list;;;30;130;88;47,8;200;610;470;29,8;500;1460;1150;27;;1500;55;10;310;765;136,4;32,4
Bylinky;Řimbaba - nať;;;40;90;61;47,6;200;310;230;34,8;500;720;550;31;;700;38;10;150;365;136,9;32,3
Bylinky;Maliník - listy;;;50;60;32;87,5;200;150;80;87,5;500;220;170;29,5;;190;20;10;48;110;200;46,7
Bylinky;Rakytník - plod;;;50;100;69;45;200;320;210;52,4;500;650;510;27,5;;650;43;10;140;340;132,6;31
Bylinky;Aronie - plod;;;50;80;39;105,2;200;190;100;90;500;310;240;29,2;;280;24;10;66;155;233,4;51,3
Bylinky;Chmel;;;30;80;39;105,2;200;290;150;93,4;500;490;360;36,2;;450;24;10;100;240;233,4;51,3
Bylinky;Hořká okurka;;;40;120;90;33,4;200;490;360;36,2;500;1120;890;25,9;;1150;56;10;240;590;114,3;25
Bylinky;Modrý čaj - Clitoria;;;30;150;98;53,1;100;390;280;39,3;250;850;680;25;;1300;49;10;140;340;206,2;34,7
Bylinky;Galgán kořen;;;50;120;112;7,2;200;380;380;0;;;;;;1200;70;10;250;15;71,5;6,7
Bylinky;Kontryhel nať;;;40;80;42;90,5;200;250;130;92,4;500;550;410;34,2;;380;26;10;86;205;207,7;47,5
Bylinky;Verbena;;;25;140;53;164,2;100;450;150;200;250;960;480;100;;900;33;10;100;240;324,3;62,2
