;;;;standardní balení;;;;balení 1;;;;balení 2;;;;;nákup;;;;;;
druh;nazev;e-shop;poznamka;std.balení g;MOC sáčku;VOC sáčku;%;g;cena MO;cena VO;%;g;cena MO;cena VO;%;;kg;standard;vzorek;bal-1;bal-2;TAO %;obch.%
Zelené  Japonské ;Kamairicha Yabukita Saitama;;;50;490;371;32,1;150;1390;1100;26,4;;;;;;5600;285;10;845;5;72;24,3
Zelené  Japonské ;Guricha Yabujita;;;50;320;247;29,6;150;930;730;27,4;;;;;;3700;190;10;560;5;68,5;22,9
Zelené  Japonské ;Kamairicha Okumidori;;;50;330;254;30;150;950;750;26,7;;;;;;3800;195;10;575;5;69,3;23,1
Zelené Čínské ;Chun Mee;;;50;120;85;41,2;200;390;310;25,9;500;930;740;25,7;;1100;65;10;235;565;84,7;29,2
Zelené Čínské ;Gunpowder ;;;50;120;78;53,9;200;370;280;32,2;500;880;670;31,4;;1000;60;10;215;515;100;35
Zelené Čínské ;Tai Pink Hou Kui ;;;30;350;247;41,8;200;1990;1580;26;500;4890;3920;24,8;;6000;190;10;1215;3015;84,3;29,5
Zelené Čínské ;Lu Xue Ya;;;40;160;123;30,1;200;730;570;28,1;500;1750;1390;25,9;;2100;94;10;435;1065;70,3;23,2
Zelené Čínské ;Long Jing Xi Hu;;;40;170;128;32,9;200;770;600;28,4;500;1850;1450;27,6;;2200;98;10;455;1115;73,5;24,8
Zelené Čínské ;Long Jing Shi Feng;;;40;330;260;27;200;1590;1260;26,2;500;3890;3110;25,1;;4750;200;10;965;2390;65;21,3
Zelené Čínské ;Meng Ding Mao Feng;;;40;220;167;31,8;200;990;790;25,4;500;2440;1940;25,8;;2950;128;10;605;1490;71,9;24,1
Zelené Čínské ;Meng Ding Si Bei Xiang;;;40;190;149;27,6;200;880;700;25,8;500;2150;1710;25,8;;2600;114;10;535;1315;66,7;21,6
Zelené Čínské ;Pi Luo Chun;;;40;190;143;32,9;200;850;670;26,9;500;2080;1650;26,1;;2500;110;10;515;1265;72,8;24,8
Zelené Čínské ;Song Luo;;;40;190;146;30,2;200;860;680;26,5;500;2100;1670;25,8;;2530;112;10;521;1280;69,7;23,2
Zelené Čínské ;Yunnan Mao Jian;;;40;230;169;36,1;200;1050;800;31,3;500;2490;1970;26,4;;3000;130;10;615;1515;77;26,6
Zelené Čínské ;Gou Qing - zelené háčky;;;50;170;130;30,8;200;620;490;26,6;500;1490;1190;25,3;;1800;100;10;375;915;70;23,6
Zelené Čínské ;Lu Bao Shi;;;40;240;185;29,8;200;1120;880;27,3;500;2730;2170;25,9;;3300;142;10;675;1665;69,1;23
Zelené Čínské ;Lü Mao Hou ;;;40;130;95;36,9;200;550;430;28;500;1290;1040;24,1;;1560;73;10;327;795;78,1;27
Zelené Čínské Jasmínové;Tai Mu Long - Moli Hua;;;50;240;169;42,1;200;830;650;27,7;500;1990;1580;26;;2400;130;10;495;1215;84,7;29,6
Zelené Čínské Jasmínové;Jasmín Mandarín - základní;;;50;100;72;38,9;200;320;250;28;500;750;610;23;;900;55;10;190;465;81,9;28
Zelené Čínské Jasmínové;Hua Cha White King;;;50;180;137;31,4;200;670;520;28,9;500;1590;1260;26,2;;1900;105;10;395;965;71,5;23,9
Zelené Čínské Jasmínové;Yin Luo - tipsový jasmínový čaj;;;40;220;158;39,3;200;950;740;28,4;500;2300;1820;26,4;;2760;121;10;567;1395;81,9;28,2
Zelené  Vietnamské;Trá Sen - Lotosový čaj;;;100;140;75;86,7;200;240;150;60;500;390;330;18,2;;400;50;10;95;215;180;46,5
Zelené  Vietnamské;Vietnamský jasmínový čaj ;;;100;140;75;86,7;200;240;150;60;500;390;330;18,2;;400;50;10;95;215;180;46,5
Zelené  Vietnamské;Vietnam Che Thai;;;100;140;75;86,7;200;240;150;60;500;390;330;18,2;;400;50;10;95;215;180;46,5
Zelené Nepálské;Kalapani Special Green;;;50;170;130;30,8;200;640;490;30,7;500;1490;1190;25,3;;1800;100;10;375;915;70;23,6
Zelené Nepálské;Ilam panithar premium;;;50;170;130;30,8;200;640;490;30,7;500;1490;1190;25,3;;1800;100;10;375;915;70;23,6
Zelené Nepálské;Ilam PEARL;;;50;250;195;28,3;200;950;750;26,7;500;2300;1840;25;;2800;150;10;575;1415;66,7;22
Žluté;Yellow Amber;;;50;180;70;157,2;200;550;220;150;500;890;530;68;;500;35;10;110;265;414,3;61,2
Žluté;Yunnan huang cha;;;40;200;143;39,9;100;450;340;32,4;250;1090;840;29,8;;2500;110;10;260;640;81,9;28,5
Čínský Oolong An Xi;Huang Jin Gui;;;50;220;169;30,2;250;1010;800;26,3;500;1990;1580;26;;2400;130;10;615;1215;69,3;23,2
Čínský Oolong An Xi;Tie Guan Yin;;;50;260;201;29,4;250;1120;890;25,9;500;2200;1750;25,8;;2650;143;10;678;1340;81,9;22,7
Čínský Oolong Dan Cong;;;;;;;;;;;;;;;;;;;;;;;
Čínský Oolong Dan Cong;Phoenix Ba Xian Xiang;;;40;290;211;37,5;200;1290;1010;27,8;500;3100;2490;24,5;;3800;162;10;775;1915;79,1;27,3
Čínský Oolong Dan Cong;Phoenix Dan Cong Mi Lan;;;40;250;177;41,3;200;1100;840;31;500;2600;2070;25,7;;3150;136;10;645;1590;83,9;29,2
Čínský Oolong Dan Cong;Phoenix Huang Zhi Xiang;;;40;250;169;48;200;1100;800;37,5;500;2600;1970;32;;3000;130;10;615;1515;92,4;32,4
Čínský Oolong Wu Yi Shan;Da Hong Pao;;;30;220;162;35,9;200;1290;1010;27,8;500;3150;2490;26,6;;3800;124;10;775;1915;77,5;26,4
Čínský Oolong Wu Yi Shan;Shui Xian;;;40;160;117;36,8;200;690;540;27,8;500;1670;1320;26,6;;2000;90;10;415;1015;77,8;26,9
Čínský Oolong Wu Yi Shan;Qi Lan;;;30;290;216;34,3;200;1790;1380;29,8;500;4300;3400;26,5;;5200;166;10;1055;2615;74,7;25,6
Čínský Oolong Wu Yi Shan;Krabička - Shi Ru;;;8;80;60;33,4;;;;;;;;;;5000;40;;;;;
Čínský Oolong Wu Yi Shan;Krabička - Da Hong Pao;;;8;80;60;33,4;;;;;;;;;;5000;40;;;;;
Čínský Oolong Wu Yi Shan;Krabička - Rou Gui;;;8;80;60;33,4;;;;;;;;;;5000;40;;;;;
Čínský Oolong Wu Yi Shan;Krabička - Tie Luo Han;;;8;80;60;33,4;;;;;;;;;;5000;40;;;;;
Čínský Oolong Wu Yi Shan;Qi Zhong;;;50;240;180;33,4;200;900;690;30,5;500;2100;1680;25;;2550;138;10;525;1290;74;25
Taiwan Oolong ;Dung Ding Supergrade;;;50;590;439;34,4;200;2200;1720;28;500;5350;4270;25,3;;6530;337;10;1321;3280;75,1;25,6
